Country,Product,Balance,Unit,Year,Month,Value
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Jan,7150
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Feb,7071
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Mar,7096
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Apr,7074
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,May,7031
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Jun,7084
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Jul,7100
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Aug,7082
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Sep,7089
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Oct,7101
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Nov,7170
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Dec,7069
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Jan,7801
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Feb,8038
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Mar,8132
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Apr,9745
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,May,9443
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Jun,8314
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Jul,8239
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Aug,8282
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Sep,8251
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Oct,8287
